diacritic_word	diacritic_pos	diacritic_freq	no_diacritic_word	no_diacritic_pos	no_diacritic_freq	total_freq
tanyà	4	0	tanya	2	21	21
tardà	4	581	tarda	4	4975	5556
tarés	4	0	tares	4	17	17
tauló	4	20	taulo	2	0	20
taís	4	1	tais	4	10	11
taús	4	1	taus	4	4	5
teià	4	3	teia	4	13	16
termenès	4	1	termenes	2	0	1
termòpiles	4	24	termopiles	4	3	27
tesà	4	0	tesa	0	4	4
thaís	4	1	thais	4	2	3
tintín	4	159	tintin	2	21	180
titó	4	3	tito	2	151	154
tió	4	17	tio	4	215	232
tolosà	4	1	tolosa	4	366	367
tolós	4	0	tolos	4	5	5
tomé	4	415	tome	2	22	437
tonyà	4	0	tonya	4	4	4
torrellà	4	0	torrella	4	3	3
torró	4	9	torro	2	1	10
tortellà	4	2	tortella	4	1	3
torà	4	248	tora	4	20	268
torí	4	448	tori	4	84	532
torís	4	3	toris	4	0	3
trillà	4	0	trilla	4	6	6
trilló	4	0	trillo	4	3	3
trulló	4	0	trullo	2	3	3
tucà	4	7	tuca	4	0	7
tudó	4	5	tudo	2	0	5
turbó	4	0	turbo	4	64	64
turà	4	1	tura	4	23	24
turó	4	1031	turo	4	4	1035
tuvà	4	13	tuva	0	25	38
tànger	4	57	tanger	4	0	57
tàpia	4	15	tapia	2	11	26
tàpies	4	27	tapies	2	0	27
tíber	4	55	tiber	0	6	61
ullà	4	5	ulla	4	33	38
ursicí	4	1	ursici	4	1	2
usès	4	2	uses	2	24	26
valentinès	4	0	valentines	4	1	1
ventalló	4	4	ventallo	2	0	4
vergonyà	4	0	vergonya	4	1248	1248
victorí	4	9	victori	4	0	9
vidrà	4	4	vidra	2	0	4
viladà	4	0	vilada	4	2	2
vinçà	4	3	vinça	4	0	3
virà	4	12	vira	4	31	43
visà	4	0	visa	4	100	100
visé	4	2	vise	2	6	8
vitalí	4	0	vitali	4	64	64
vitré	4	10	vitre	4	0	10
vivià	4	0	vivia	2	1106	1106
vià	4	0	via	4	7368	7368
voló	4	4	volo	2	22	26
wílson	4	0	wilson	4	1083	1083
xaló	4	6	xalo	2	0	6
xapí	4	0	xapi	2	3	3
xifró	4	0	xifro	2	2	2
xèrica	4	5	xerica	2	0	5
zoè	4	12	zoe	4	76	88
zoé	4	3	zoe	4	76	79
abaixarà	2	4	abaixara	2	0	4
abaixà	2	1	abaixa	2	124	125
abaixàrem	2	0	abaixarem	2	1	1
abaixés	2	6	abaixes	2	1	7
abaixí	2	0	abaixi	2	7	7
abalancés	2	1	abalances	2	0	1
abalançà	2	0	abalança	2	3	3
abalisà	2	0	abalisa	2	1	1
abanderà	2	0	abandera	2	5	5
abanderí	2	0	abanderi	2	3	3
abandonarà	2	65	abandonara	2	6	71
abandonà	2	302	abandona	2	420	722
abandonàrem	2	0	abandonarem	2	32	32
abandonàreu	2	0	abandonareu	2	6	6
abandonés	2	163	abandones	2	11	174
abandoní	2	0	abandoni	2	307	307
abaratirà	2	9	abaratira	2	0	9
abastarà	2	129	abastara	2	0	129
abastirà	2	3	abastira	2	0	3
abastà	2	14	abasta	2	1665	1679
abastàrem	2	0	abastarem	2	1	1
abastés	2	40	abastes	2	0	40
abastí	2	1	abasti	2	419	420
abatré	2	1	abatre	2	202	203
abatés	2	1	abates	2	0	1
abatí	2	0	abati	2	6	6
abdicarà	2	1	abdicara	2	0	1
abdicà	2	21	abdica	2	9	30
abdicàrem	2	0	abdicarem	2	1	1
abdiqués	2	11	abdiques	2	0	11
abdiquí	2	0	abdiqui	2	4	4
abismà	2	0	abisma	2	1	1
abismés	2	0	abismes	2	28	28
abjurà	2	1	abjura	2	0	1
abocarà	2	8	abocara	2	0	8
abocà	2	7	aboca	2	97	104
abocàrem	2	0	abocarem	2	1	1
abolirà	2	11	abolira	2	1	12
abominà	2	0	abomina	2	3	3
abonarà	2	15	abonara	2	0	15
abonyegà	2	0	abonyega	2	2	2
abonà	2	0	abona	2	32	32
abonàrem	2	0	abonarem	2	2	2
abonés	2	3	abones	2	0	3
aboní	2	0	aboni	2	18	18
