diacritic_pos	diacritic_freq	no_diacritic_pos	no_diacritic_freq	total_freq	cnt	detected
4	5	4	209	214	443	1
4	1	4	59	60	444	0
4	0	4	861	861	445	2
4	2	2	0	2	446	1
4	0	2	10	10	447	2
4	0	4	5	5	448	2
4	0	2	0	0	449	2
4	1	2	50	51	450	0
4	19	2	71	90	451	1
4	1	4	2	3	452	1
4	7074	0	7	7081	453	0
4	0	4	0	0	454	2
4	396	2	31	427	455	0
4	501	2	82	583	456	1
4	0	4	11	11	457	2
4	0	2	18	18	458	2
4	0	2	18	18	459	2
4	0	4	0	0	460	2
4	0	4	3	3	461	2
4	52	2	65	117	462	0
4	23	4	7	30	463	1
4	15	0	0	15	464	0
4	4	2	0	4	465	1
4	0	4	80	80	466	2
4	0	4	0	0	467	2
4	0	2	6	6	468	2
4	0	0	109	109	469	2
4	15	2	7	22	470	1
4	0	4	8	8	471	2
4	0	4	0	0	472	2
4	3	4	0	3	473	1
4	1	4	26	27	474	0
4	0	2	0	0	475	2
4	0	2	2	2	476	2
4	2	4	0	2	477	0
4	7	0	45	52	478	0
4	115	2	0	115	479	0
4	1	4	6	7	480	1
4	3	2	3	6	481	0
4	0	4	71	71	482	2
4	2	4	1192	1194	483	0
4	11	4	1192	1203	484	0
4	189	2	9	198	485	0
4	1	4	16	17	486	1
4	2464	4	5769	8233	487	0
4	0	4	5435	5435	488	2
4	1	2	0	1	489	1
4	9	2	0	9	490	0
4	24	4	29	53	491	1
4	0	4	4	4	492	2
4	2	4	65	67	493	0
4	0	4	7	7	494	2
4	0	4	0	0	495	2
4	21	2	0	21	496	0
4	0	2	710	710	497	2
4	0	4	5	5	498	2
4	12	4	168	180	499	0
4	0	2	0	0	500	2
4	13	4	0	13	501	1
4	0	4	26	26	502	2
4	0	4	1337	1337	503	2
4	0	2	429	429	504	2
4	40	0	259	299	505	1
4	0	4	107	107	506	2
4	0	2	20	20	507	2
4	10	4	40	50	508	0
4	24	2	131	155	509	1
4	39	4	0	39	510	0
4	6	4	61	67	511	1
4	0	4	197	197	512	2
4	8	4	5	13	513	1
4	0	4	1	1	514	2
4	11	0	2	13	515	1
4	6	0	7	13	516	1
4	0	4	1	1	517	2
4	59	4	23	82	518	1
4	2	2	318	320	519	1
4	1	2	1	2	520	0
4	294	2	81	375	521	1
4	42	2	16	58	522	0
4	73	2	60	133	523	0
4	2	4	12	14	524	1
4	0	4	1	1	525	2
4	2	4	572	574	526	1
4	0	2	404	404	527	2
4	0	4	3	3	528	2
4	8	2	275	283	529	0
4	6	4	444	450	530	0
4	0	4	5	5	531	2
4	18	0	5893	5911	532	1
4	20	2	800	820	533	0
4	12	4	19	31	534	0
4	0	2	101	101	535	2
4	0	4	5	5	536	2
4	6	2	404	410	537	1
4	13	4	84	97	538	0
4	0	4	0	0	539	2
4	1	2	21	22	540	0
4	146	2	2	148	541	0
4	0	2	21	21	542	2
4	581	4	4975	5556	543	0
4	0	4	17	17	544	2
4	0	2	0	0	545	2
4	0	2	0	0	546	2
4	20	2	0	20	547	0
4	1	4	10	11	548	1
4	1	4	4	5	549	0
4	3	4	13	16	550	0
4	1	2	0	1	551	1
4	24	4	3	27	552	0
4	0	0	4	4	553	2
4	0	2	0	0	554	2
4	1	4	2	3	555	0
4	159	2	21	180	556	0
4	3	2	151	154	557	1
4	17	4	215	232	558	0
4	1	4	366	367	559	0
4	0	4	5	5	560	2
4	415	2	22	437	561	1
4	0	4	4	4	562	2
4	0	2	0	0	563	2
4	0	4	3	3	564	2
4	9	2	1	10	565	0
4	2	4	1	3	566	1
4	248	4	20	268	567	0
4	448	4	84	532	568	0
4	3	4	0	3	569	0
4	0	4	6	6	570	2
4	0	4	3	3	571	2
